Hier,Aqui
Reiseplan,Plano de viagem
Frau,Mulher
Schön,Bonito
Guten Morgen,Bom dia
Ich komme,Eu venho
Ich kann nur am montagmorgen,Eu posso só na segunda de manhã
Ich möchte,Eu quero
Die Hände,As mãos
Sie War zuerst da,Ela estava primeiro aqui
Ich fahre,Eu vou
Ich habe zeit,Eu tenho tempo
Er hat freizeit,Ele tem tempo livre
Ihr habt einen Hund zu hause,Vocês tem um cachorro em casa
Ich schreibe regelmäßig,Eu escrevo regularmente
Zeitschrift,Revista
Der student schreibe sehr gut,O estudante escreve muito bem
Ich nehme ein Stück Kuchen,Eu pego um pedaço de bolo
Ich gehe schwimmen,Eu vou nadar
Wir gehen zusammen auf die party,Nós vamos juntos para a festa
Wir fahren zum supermarkt,Nós vamos ao supermercado
Der Stadtplan,O mapa da cidade
Der Verkehr,O trânsito
Ratgeber,Conselheiro
Das Fahrzeug,O veículo
Die Farbe,A cor
Unberkannt,Desconhecido
Offen,Aberto
Hillfreich,Útil
Ausgezeichnet,Excelente
Wir frühstücken immer zusammen,Nós tomamos café da manhã sempre juntos
Wann frühstücken wir?,Que horas nós vamos tomar café da manhã?
Du liest jeden Tag eine Seite der Zeitschrift,Você lê todos os dias uma página da revista
Ich mag fernsehen,Eu gosto de assistir televisão
Die Arbeit ist fast fertig,O trabalho está quase pronto
Das Kind kommt fast immer zu spät,A criança chega quase sempre atrasada
Es ist fast dunkel,Está quase escuro
Mein liebstes Hobby ist Radfahren,Meu Hobby favorito é andar de bicicleta
Meinstens,Na maioria das vezes
Zufrieden,Satisfeito
Die Zitrone schmeckt sauer,O limão tem sabor azedo
Ich bin nicht die Professorin,Eu não sou a professora

